2026-01-18 13:06:50.999 [info] Reading sessions from keychain...
2026-01-18 13:06:50.999 [info] Getting sessions for all scopes...
2026-01-18 13:06:50.999 [info] Got stored sessions!
2026-01-18 13:06:50.999 [info] Got 1 verified sessions.
2026-01-18 13:06:50.999 [info] Got 1 sessions for ...
2026-01-18 13:06:50.999 [info] Getting sessions for all scopes...
2026-01-18 13:06:50.999 [info] Got 1 sessions for ...
2026-01-18 13:06:50.999 [info] Getting sessions for all scopes...
2026-01-18 13:06:50.999 [info] Got 1 sessions for ...
2026-01-18 13:06:50.999 [info] Getting sessions for all scopes...
2026-01-18 13:06:50.999 [info] Got 1 sessions for ...
2026-01-18 13:06:50.999 [info] Getting sessions for all scopes...
2026-01-18 13:06:50.999 [info] Got 1 sessions for ...
2026-01-18 13:06:50.999 [info] Getting sessions for all scopes...
2026-01-18 13:06:50.999 [info] Got 1 sessions for ...
2026-01-18 13:06:50.999 [info] Getting sessions for all scopes...
2026-01-18 13:06:50.999 [info] Got 1 sessions for ...
2026-01-18 13:06:50.999 [info] Getting sessions for all scopes...
2026-01-18 13:06:50.999 [info] Got 1 sessions for ...
2026-01-18 13:06:51.044 [info] Getting sessions for all scopes...
2026-01-18 13:06:51.045 [info] Got 1 sessions for ...
2026-01-18 13:06:51.045 [info] Getting sessions for all scopes...
2026-01-18 13:06:51.045 [info] Got 1 sessions for ...
2026-01-18 13:06:51.045 [info] Getting sessions for all scopes...
2026-01-18 13:06:51.045 [info] Got 1 sessions for ...
2026-01-18 13:06:51.045 [info] Getting sessions for all scopes...
2026-01-18 13:06:51.045 [info] Got 1 sessions for ...
2026-01-18 13:06:51.045 [info] Getting sessions for all scopes...
2026-01-18 13:06:51.045 [info] Got 1 sessions for ...
2026-01-18 13:06:51.045 [info] Getting sessions for all scopes...
2026-01-18 13:06:51.045 [info] Got 1 sessions for ...
2026-01-18 13:06:52.884 [info] Getting sessions for all scopes...
2026-01-18 13:06:52.884 [info] Got 1 sessions for ...
2026-01-18 13:06:56.060 [info] Reading sessions from keychain...
2026-01-18 13:06:56.060 [info] Got stored sessions!
2026-01-18 13:06:56.060 [info] Got 1 verified sessions.
2026-01-18 13:06:56.060 [info] Getting sessions for all scopes...
2026-01-18 13:06:56.060 [info] Got 1 sessions for ...
2026-01-18 13:06:56.060 [info] Getting sessions for all scopes...
2026-01-18 13:06:56.060 [info] Got 1 sessions for ...
2026-01-18 13:06:56.060 [info] Getting sessions for all scopes...
2026-01-18 13:06:56.060 [info] Got 1 sessions for ...
2026-01-18 13:06:56.060 [info] Getting sessions for all scopes...
2026-01-18 13:06:56.060 [info] Got 1 sessions for ...
2026-01-18 13:06:56.060 [info] Getting sessions for all scopes...
2026-01-18 13:06:56.060 [info] Got 1 sessions for ...
2026-01-18 13:06:56.060 [info] Getting sessions for all scopes...
2026-01-18 13:06:56.060 [info] Got 1 sessions for ...
2026-01-18 13:06:56.060 [info] Getting sessions for all scopes...
2026-01-18 13:06:56.060 [info] Got 1 sessions for ...
2026-01-18 13:06:56.060 [info] Getting sessions for all scopes...
2026-01-18 13:06:56.060 [info] Got 1 sessions for ...
2026-01-18 13:06:56.068 [info] Getting sessions for all scopes...
2026-01-18 13:06:56.068 [info] Got 1 sessions for ...
2026-01-18 13:06:56.068 [info] Getting sessions for all scopes...
2026-01-18 13:06:56.068 [info] Got 1 sessions for ...
2026-01-18 13:06:56.068 [info] Getting sessions for all scopes...
2026-01-18 13:06:56.068 [info] Got 1 sessions for ...
2026-01-18 13:06:56.068 [info] Getting sessions for all scopes...
2026-01-18 13:06:56.068 [info] Got 1 sessions for ...
2026-01-18 13:06:56.068 [info] Getting sessions for all scopes...
2026-01-18 13:06:56.068 [info] Got 1 sessions for ...
2026-01-18 13:06:56.069 [info] Getting sessions for all scopes...
2026-01-18 13:06:56.069 [info] Got 1 sessions for ...
2026-01-18 13:06:57.988 [info] Getting sessions for all scopes...
2026-01-18 13:06:57.988 [info] Got 1 sessions for ...
